year_ceremony,Category,name,film
1994,SHORT FILM (Live Action),Pepe Danquart,Black Rider (Schwarzfahrer)
1994,SOUND,"Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins",Jurassic Park
1994,SOUND EFFECTS EDITING,"Gary Rydstrom, Richard Hymns",Jurassic Park
1994,VISUAL EFFECTS,"Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri",Jurassic Park
1994,WRITING (Adapted Screenplay),Steven Zaillian,Schindler's List
1994,WRITING (Screenplay Written Directly for the Screen),Jane Campion,The Piano
1994,JEAN HERSHOLT HUMANITARIAN AWARD,Paul Newman,
1994,HONORARY AWARD, Deborah Kerr,
1995,PRODUCTION DESIGN,Art Direction:  Ken Adam;  Set Decoration:  Carolyn Scott,The Madness of King George
1995,CINEMATOGRAPHY,John Toll,Legends of the Fall
1995,COSTUME DESIGN,"Lizzy Gardiner, Tim Chappel","The Adventures of Priscilla, Queen of the Desert"
1995,DIRECTING,Robert Zemeckis,Forrest Gump
1995,DOCUMENTARY (Feature),"Freida Lee Mock, Terry Sanders",Maya Lin: A Strong Clear Vision
1995,DOCUMENTARY (Short Subject),Charles Guggenheim,A Time for Justice
1995,FILM EDITING,Arthur Schmidt,Forrest Gump
1995,FOREIGN LANGUAGE FILM,Russia,Burnt by the Sun
1995,MAKEUP,"Rick Baker, Ve Neill, Yolanda Toussieng",Ed Wood
1995,MUSIC (Original Score),Hans Zimmer,The Lion King
1995,MUSIC (Original Song),Music by Elton John; Lyric by Tim Rice,The Lion King
1995,BEST PICTURE,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump
1995,SHORT FILM (Animated),"Alison Snowden, David Fine",Bob's Birthday
1995,SHORT FILM (Live Action),"Peter Capaldi, Ruth Kenley-Letts",Franz Kafka's It's a Wonderful Life
1995,SHORT FILM (Live Action),"Peggy Rajski, Randy Stone",Trevor
1995,SOUND,"Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan",Speed
1995,SOUND EFFECTS EDITING,Stephen Hunter Flick,Speed
1995,VISUAL EFFECTS,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall",Forrest Gump
1995,WRITING (Adapted Screenplay),Eric Roth,Forrest Gump
1995,WRITING (Screenplay Written Directly for the Screen),Screenplay by Quentin Tarantino;  Stories by Quentin Tarantino & Roger Avary,Pulp Fiction
1995,JEAN HERSHOLT HUMANITARIAN AWARD,Quincy Jones,
1995,HONORARY AWARD, Michelangelo Antonioni in recognition of his place as one of the cinema's master visual stylists.,
1995,IRVING G. THALBERG MEMORIAL AWARD,Clint Eastwood,
1996,PRODUCTION DESIGN,Eugenio Zanetti,Restoration
1996,CINEMATOGRAPHY,John Toll,Braveheart
1996,COSTUME DESIGN,James Acheson,Restoration
1996,DIRECTING,Mel Gibson,Braveheart
1996,DOCUMENTARY (Feature),Jon Blair,Anne Frank Remembered
1996,DOCUMENTARY (Short Subject),Kary Antholis,One Survivor Remembers
1996,FILM EDITING,"Mike Hill, Dan Hanley",Apollo 13
1996,FOREIGN LANGUAGE FILM,The Netherlands,Antonia's Line
1996,MAKEUP,"Peter Frampton, Paul Pattison, Lois Burwell",Braveheart
1996,MUSIC (Original Dramatic Score),Luis Enrique Bacalov,The Postman (Il Postino)
1996,MUSIC (Original Musical or Comedy Score),Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,Pocahontas
1996,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,Pocahontas
1996,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart
1996,SHORT FILM (Animated),Nick Park,A Close Shave
1996,SHORT FILM (Live Action),"Christine Lahti, Jana Sue Memel",Lieberman in Love
1996,SOUND,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan",Apollo 13
1996,SOUND EFFECTS EDITING,"Lon Bender, Per Hallberg",Braveheart
1996,VISUAL EFFECTS,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox",Babe
1996,WRITING (Adapted Screenplay),Emma Thompson,Sense and Sensibility
1996,WRITING (Screenplay Written Directly for the Screen),Christopher McQuarrie,The Usual Suspects
1996,SPECIAL ACHIEVEMENT AWARD, John Lasseter,
1996,HONORARY AWARD, Kirk Douglas,
1996,HONORARY AWARD, Chuck Jones,
1997,PRODUCTION DESIGN,Art Direction:  Stuart Craig;  Set Decoration:  Stephenie McMillan,The English Patient
1997,CINEMATOGRAPHY,John Seale,The English Patient
1997,COSTUME DESIGN,Ann Roth,The English Patient
1997,DIRECTING,Anthony Minghella,The English Patient
1997,DOCUMENTARY (Feature),"Leon Gast, David Sonenberg",When We Were Kings
1997,DOCUMENTARY (Short Subject),Jessica Yu,Breathing Lessons: The Life and Work of Mark O'Brien
1997,FILM EDITING,Walter Murch,The English Patient
1997,FOREIGN LANGUAGE FILM,Czech Republic,Kolya
1997,MAKEUP,"Rick Baker, David LeRoy Anderson",The Nutty Professor
1997,MUSIC (Original Dramatic Score),Gabriel Yared,The English Patient
1997,MUSIC (Original Musical or Comedy Score),Rachel Portman,Emma
1997,MUSIC (Original Song),Music by Andrew Lloyd Webber; Lyric by Tim Rice,Evita
1997,BEST PICTURE,"Saul Zaentz, Producer",The English Patient
1997,SHORT FILM (Animated),"Tyron Montgomery, Thomas Stellmach",Quest
1997,SHORT FILM (Live Action),"David Frankel, Barry Jossen",Dear Diary
1997,SOUND,"Walter Murch, Mark Berger, David Parker, Chris Newman",The English Patient
1997,SOUND EFFECTS EDITING,Bruce Stambler,The Ghost and the Darkness
1997,VISUAL EFFECTS,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil",Independence Day
1997,WRITING (Adapted Screenplay),Billy Bob Thornton,Sling Blade
1997,WRITING (Screenplay Written Directly for the Screen),"Ethan Coen, Joel Coen",Fargo
1997,HONORARY AWARD, Michael Kidd in recognition of his services to the art of the dance in the art of the screen.,
1997,IRVING G. THALBERG MEMORIAL AWARD,Saul Zaentz,
1998,PRODUCTION DESIGN,Art Direction:  Peter Lamont;  Set Decoration:  Michael Ford,Titanic
1998,CINEMATOGRAPHY,Russell Carpenter,Titanic
1998,COSTUME DESIGN,Deborah L. Scott,Titanic
1998,DIRECTING,James Cameron,Titanic
1998,DOCUMENTARY (Feature),"Rabbi Marvin Hier, Richard Trank",The Long Way Home
1998,DOCUMENTARY (Short Subject),"Donna Dewey, Carol Pasternak",A Story of Healing
1998,FILM EDITING,"Conrad Buff, James Cameron, Richard A. Harris",Titanic
1998,FOREIGN LANGUAGE FILM,The Netherlands,Character
1998,MAKEUP,"Rick Baker, David LeRoy Anderson",Men in Black
1998,MUSIC (Original Dramatic Score),James Horner,Titanic
1998,MUSIC (Original Musical or Comedy Score),Anne Dudley,The Full Monty
1998,MUSIC (Original Song),Music by James Horner; Lyric by Will Jennings,Titanic
1998,BEST PICTURE,"James Cameron and Jon Landau, Producers",Titanic
1998,SHORT FILM (Animated),Jan Pinkava,Geri's Game
1998,SHORT FILM (Live Action),"Chris Tashima, Chris Donahue",Visas and Virtue
1998,SOUND,"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano",Titanic
1998,SOUND EFFECTS EDITING,"Tom Bellfort, Christopher Boyes",Titanic
1998,VISUAL EFFECTS,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer",Titanic
1998,WRITING (Adapted Screenplay),"Brian Helgeland, Curtis Hanson",L.A. Confidential
1998,WRITING (Screenplay Written Directly for the Screen),"Ben Affleck, Matt Damon",Good Will Hunting
1998,HONORARY AWARD, Stanley Donen in appreciation of a body of work marked by grace,
1999,PRODUCTION DESIGN,Art Direction:  Martin Childs;  Set Decoration:  Jill Quertier,Shakespeare in Love
1999,CINEMATOGRAPHY,Janusz Kaminski,Saving Private Ryan
1999,COSTUME DESIGN,Sandy Powell,Shakespeare in Love
1999,DIRECTING,Steven Spielberg,Saving Private Ryan
1999,DOCUMENTARY (Feature),"James Moll, Ken Lipper",The Last Days
1999,DOCUMENTARY (Short Subject),Keiko Ibi,The Personals: Improvisations on Romance in the Golden Years
1999,FILM EDITING,Michael Kahn,Saving Private Ryan
1999,FOREIGN LANGUAGE FILM,Italy,Life Is Beautiful
1999,MAKEUP,Jenny Shircore,Elizabeth
1999,MUSIC (Original Dramatic Score),Nicola Piovani,Life Is Beautiful
1999,MUSIC (Original Musical or Comedy Score),Stephen Warbeck,Shakespeare in Love
1999,MUSIC (Original Song),Music and Lyric by Stephen Schwartz,The Prince of Egypt
1999,BEST PICTURE,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Shakespeare in Love
1999,SHORT FILM (Animated),Chris Wedge,Bunny
1999,SHORT FILM (Live Action),"Kim Magnusson, Anders Thomas Jensen",Election Night (Valgaften)
1999,SOUND,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins",Saving Private Ryan
1999,SOUND EFFECTS EDITING,"Gary Rydstrom, Richard Hymns",Saving Private Ryan
1999,VISUAL EFFECTS,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack",What Dreams May Come
1999,WRITING (Adapted Screenplay),Bill Condon,Gods and Monsters
1999,WRITING (Screenplay Written Directly for the Screen),"Marc Norman, Tom Stoppard",Shakespeare in Love
1999,HONORARY AWARD, Elia Kazan in recognition of his indelible contributions to the art of motion picture direction.,
1999,IRVING G. THALBERG MEMORIAL AWARD,Norman Jewison,
2000,PRODUCTION DESIGN,Art Direction:  Rick Heinrichs;  Set Decoration:  Peter Young,Sleepy Hollow
2000,CINEMATOGRAPHY,Conrad L. Hall,American Beauty
2000,COSTUME DESIGN,Lindy Hemming,Topsy-Turvy
2000,DIRECTING,Sam Mendes,American Beauty
2000,DOCUMENTARY (Feature),"Arthur Cohn, Kevin Macdonald",One Day in September
2000,DOCUMENTARY (Short Subject),"Susan Hannah Hadary, William A. Whiteford",King Gimp
2000,FILM EDITING,Zach Staenberg,The Matrix
2000,FOREIGN LANGUAGE FILM,Spain,All about My Mother
2000,MAKEUP,"Christine Blundell, Trefor Proud",Topsy-Turvy
2000,MUSIC (Original Score),John Corigliano,The Red Violin
2000,MUSIC (Original Song),Music and Lyric by Phil Collins,Tarzan
2000,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",American Beauty
2000,SHORT FILM (Animated),Alexander Petrov,The Old Man and the Sea
2000,SHORT FILM (Live Action),"Barbara Schock, Tammy Tiehel",My Mother Dreams the Satan's Disciples in New York
2000,SOUND,"John Reitz, Gregg Rudloff, David Campbell, David Lee",The Matrix
2000,SOUND EFFECTS EDITING,Dane A. Davis,The Matrix
2000,VISUAL EFFECTS,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum",The Matrix
2000,WRITING (Adapted Screenplay),John Irving,The Cider House Rules
2000,WRITING (Screenplay Written Directly for the Screen),Alan Ball,American Beauty
2000,HONORARY AWARD, Andrzej Wajda in recognition of five decades of extraordinary film direction.,
2000,IRVING G. THALBERG MEMORIAL AWARD,Warren Beatty,
2001,PRODUCTION DESIGN,Tim Yip,"Crouching Tiger, Hidden Dragon"
2001,CINEMATOGRAPHY,Peter Pau,"Crouching Tiger, Hidden Dragon"
2001,COSTUME DESIGN,Janty Yates,Gladiator
2001,DIRECTING,Steven Soderbergh,Traffic
2001,DOCUMENTARY (Feature),"Mark Jonathan Harris, Deborah Oppenheimer",Into the Arms of Strangers: Stories of the Kindertransport
2001,DOCUMENTARY (Short Subject),Tracy Seretean,Big Mama
2001,FILM EDITING,Stephen Mirrione,Traffic
2001,FOREIGN LANGUAGE FILM,Taiwan,"Crouching Tiger, Hidden Dragon"
2001,MAKEUP,"Rick Baker, Gail Ryan",Dr. Seuss' How the Grinch Stole Christmas
2001,MUSIC (Original Score),Tan Dun,"Crouching Tiger, Hidden Dragon"
2001,MUSIC (Original Song),Music and Lyric by Bob Dylan,Wonder Boys
2001,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator
2001,SHORT FILM (Animated),Michael Dudok de Wit,Father and Daughter
2001,SHORT FILM (Live Action),Florian Gallenberger,Quiero Ser (I want to be...)
2001,SOUND,"Scott Millan, Bob Beemer, Ken Weston",Gladiator
2001,SOUND EDITING,Jon Johnson,U-571
2001,VISUAL EFFECTS,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey",Gladiator
2001,WRITING (Adapted Screenplay),Screenplay by Stephen Gaghan,Traffic
2001,WRITING (Screenplay Written Directly for the Screen),Written by Cameron Crowe,Almost Famous
2001,HONORARY AWARD, Jack Cardiff,
2001,HONORARY AWARD, Ernest Lehman,
2001,IRVING G. THALBERG MEMORIAL AWARD,Dino De Laurentiis,
2002,ANIMATED FEATURE FILM,Aron Warner,Shrek
2002,PRODUCTION DESIGN,Art Direction:  Catherine Martin; Set Decoration:  Brigitte Broch,Moulin Rouge
2002,CINEMATOGRAPHY,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring
2002,COSTUME DESIGN,"Catherine Martin, Angus Strathie",Moulin Rouge
2002,DIRECTING,Ron Howard,A Beautiful Mind
2002,DOCUMENTARY (Feature),"Jean-Xavier de Lestrade, Denis Poncet",Murder on a Sunday Morning
2002,DOCUMENTARY (Short Subject),"Sarah Kernochan, Lynn Appelle",Thoth
2002,FILM EDITING,Pietro Scalia,Black Hawk Down
2002,FOREIGN LANGUAGE FILM,Bosnia & Herzegovina,No Man's Land
2002,MAKEUP,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring
2002,MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Fellowship of the Ring
2002,MUSIC (Original Song),Music and Lyric by Randy Newman,"Monsters, Inc."
2002,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind
2002,SHORT FILM (Animated),Ralph Eggleston,For the Birds
2002,SHORT FILM (Live Action),"Ray McKinnon, Lisa Blount",the accountant
2002,SOUND,"Michael Minkler, Myron Nettinga, Chris Munro",Black Hawk Down
2002,SOUND EDITING,"George Watters II, Christopher Boyes",Pearl Harbor
2002,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",The Lord of the Rings: The Fellowship of the Ring
2002,WRITING (Adapted Screenplay),Written by Akiva Goldsman,A Beautiful Mind
2002,WRITING (Screenplay Written Directly for the Screen),Written by Julian Fellowes,Gosford Park
2002,JEAN HERSHOLT HUMANITARIAN AWARD,Arthur Hiller,
2002,HONORARY AWARD, Sidney Poitier in recognition of his remarkable accomplishments as an artist and as a human being.,
2002,HONORARY AWARD, Robert Redford:  Actor,
2003,ANIMATED FEATURE FILM,Hayao Miyazaki,Spirited Away
2003,PRODUCTION DESIGN,Art Direction:  John Myhre; Set Decoration:  Gordon Sim,Chicago
2003,CINEMATOGRAPHY,Conrad L. Hall,Road to Perdition
2003,COSTUME DESIGN,Colleen Atwood,Chicago
2003,DIRECTING,Roman Polanski,The Pianist
2003,DOCUMENTARY (Feature),"Michael Moore, Michael Donovan",Bowling for Columbine
2003,DOCUMENTARY (Short Subject),"Bill Guttentag, Robert David Port",Twin Towers
2003,FILM EDITING,Martin Walsh,Chicago
2003,FOREIGN LANGUAGE FILM,Germany,Nowhere in Africa
2003,MAKEUP,"John Jackson, Beatrice De Alba",Frida
2003,MUSIC (Original Score),Elliot Goldenthal,Frida
2003,MUSIC (Original Song),"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem",8 Mile
2003,BEST PICTURE,"Martin Richards, Producer",Chicago
2003,SHORT FILM (Animated),Eric Armstrong,The ChubbChubbs!
2003,SHORT FILM (Live Action),"Martin Strange-Hansen, Mie Andreasen",This Charming Man (Der Er En Yndig Mand)
2003,SOUND,"Michael Minkler, Dominick Tavella, David Lee",Chicago
2003,SOUND EDITING,"Ethan Van der Ryn, Michael Hopkins",The Lord of the Rings: The Two Towers
2003,VISUAL EFFECTS,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke",The Lord of the Rings: The Two Towers
2003,WRITING (Adapted Screenplay),Screenplay by Ronald Harwood,The Pianist
2003,WRITING (Original Screenplay),Written by Pedro Almodóvar,Talk to Her
2003,HONORARY AWARD, Peter O'ole,
2004,ANIMATED FEATURE FILM,Andrew Stanton,Finding Nemo
2004,PRODUCTION DESIGN,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee,The Lord of the Rings: The Return of the King
2004,CINEMATOGRAPHY,Russell Boyd,Master and Commander: The Far Side of the World
2004,COSTUME DESIGN,Ngila Dickson and Richard Taylor,The Lord of the Rings: The Return of the King
2004,DIRECTING,Peter Jackson,The Lord of the Rings: The Return of the King
2004,DOCUMENTARY (Feature),Errol Morris and Michael Williams,The Fog of War
2004,DOCUMENTARY (Short Subject),Maryann DeLeo,Chernobyl Heart
2004,FILM EDITING,Jamie Selkirk,The Lord of the Rings: The Return of the King
2004,FOREIGN LANGUAGE FILM,Canada,The Barbarian Invasions
2004,MAKEUP,Richard Taylor and Peter King,The Lord of the Rings: The Return of the King
2004,MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Return of the King
2004,MUSIC (Original Song),Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox,The Lord of the Rings: The Return of the King
2004,BEST PICTURE,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",The Lord of the Rings: The Return of the King
2004,SHORT FILM (Animated),Adam Elliot,Harvie Krumpet
2004,SHORT FILM (Live Action),Aaron Schneider and Andrew J. Sacks,Two Soldiers
2004,SOUND EDITING,Richard King,Master and Commander: The Far Side of the World
2004,SOUND MIXING,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek",The Lord of the Rings: The Return of the King
2004,VISUAL EFFECTS,"Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke",The Lord of the Rings: The Return of the King
2004,WRITING (Adapted Screenplay),"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson",The Lord of the Rings: The Return of the King
2004,WRITING (Original Screenplay),Written by Sofia Coppola,Lost in Translation
2004,HONORARY AWARD, Blake Edwards in recognition of his writing,
2005,ANIMATED FEATURE FILM,Brad Bird,The Incredibles
2005,PRODUCTION DESIGN,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,The Aviator
2005,CINEMATOGRAPHY,Robert Richardson,The Aviator
2005,COSTUME DESIGN,Sandy Powell,The Aviator
2005,DIRECTING,Clint Eastwood,Million Dollar Baby
2005,DOCUMENTARY (Feature),Ross Kauffman and Zana Briski,Born into Brothels
2005,DOCUMENTARY (Short Subject),Robert Hudson and Bobby Houston,Mighty Times: The Children's March
2005,FILM EDITING,Thelma Schoonmaker,The Aviator
2005,FOREIGN LANGUAGE FILM,Spain,The Sea Inside
2005,MAKEUP,Valli O'Reilly and Bill Corso,Lemony Snicket's A Series of Unfortunate Events
2005,MUSIC (Original Score),Jan A.P. Kaczmarek,Finding Neverland
2005,MUSIC (Original Song),Music and Lyric by Jorge Drexler,The Motorcycle Diaries
2005,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Million Dollar Baby
2005,SHORT FILM (Animated),Chris Landreth,Ryan
2005,SHORT FILM (Live Action),Andrea Arnold,Wasp
2005,SOUND EDITING,Michael Silvers and Randy Thom,The Incredibles
2005,SOUND MIXING,"Scott Millan, Greg Orloff, Bob Beemer and Steve Cantamessa",Ray
2005,VISUAL EFFECTS,"John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier",Spider-Man 2
2005,WRITING (Adapted Screenplay),Screenplay by Alexander Payne & Jim Taylor,Sideways
2005,WRITING (Original Screenplay),Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth,Eternal Sunshine of the Spotless Mind
2005,JEAN HERSHOLT HUMANITARIAN AWARD,Roger Mayer,
2005,HONORARY AWARD, Sidney Lumet in recognition of his brilliant services to screenwriters,
2006,ANIMATED FEATURE FILM,Nick Park and Steve Box,Wallace & Gromit in The Curse of the Were-Rabbit
2006,PRODUCTION DESIGN,Art Direction:  John Myhre; Set Decoration:  Gretchen Rau,Memoirs of a Geisha
2006,CINEMATOGRAPHY,Dion Beebe,Memoirs of a Geisha
2006,COSTUME DESIGN,Colleen Atwood,Memoirs of a Geisha
2006,DIRECTING,Ang Lee,Brokeback Mountain
2006,DOCUMENTARY (Feature),Luc Jacquet and Yves Darondeau,March of the Penguins
2006,DOCUMENTARY (Short Subject),Corinne Marrinan and Eric Simonson,A Note of Triumph: The Golden Age of Norman Corwin
2006,FILM EDITING,Hughes Winborne,Crash
2006,FOREIGN LANGUAGE FILM,South Africa,Tsotsi
2006,MAKEUP,Howard Berger and Tami Lane,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
2006,MUSIC (Original Score),Gustavo Santaolalla,Brokeback Mountain
2006,MUSIC (Original Song),"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard",Hustle & Flow
2006,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers",Crash
2006,SHORT FILM (Animated),John Canemaker and Peggy Stern,The Moon and the Son: An Imagined Conversation
2006,SHORT FILM (Live Action),Martin McDonagh,Six Shooter
2006,SOUND EDITING,Mike Hopkins and Ethan Van der Ryn,King Kong
2006,SOUND MIXING,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek",King Kong
2006,VISUAL EFFECTS,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor",King Kong
2006,WRITING (Adapted Screenplay),Screenplay by Larry McMurtry & Diana Ossana,Brokeback Mountain
2006,WRITING (Original Screenplay),Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis,Crash
2006,HONORARY AWARD, Robert Altman in recognition of a career that has repeatedly reinvented the art form and inspired filmmakers and audiences alike.,
2007,ANIMATED FEATURE FILM,George Miller,Happy Feet
2007,PRODUCTION DESIGN,Art Direction:  Eugenio Caballero; Set Decoration:  Pilar Revuelta,Pan's Labyrinth
2007,CINEMATOGRAPHY,Guillermo Navarro,Pan's Labyrinth
2007,COSTUME DESIGN,Milena Canonero,Marie Antoinette
2007,DIRECTING,Martin Scorsese,The Departed
2007,DOCUMENTARY (Feature),Davis Guggenheim,An Inconvenient Truth
2007,DOCUMENTARY (Short Subject),Ruby Yang and Thomas Lennon,The Blood of Yingzhou District
2007,FILM EDITING,Thelma Schoonmaker,The Departed
2007,FOREIGN LANGUAGE FILM,Germany,The Lives of Others
2007,MAKEUP,David Martí and Montse Ribé,Pan's Labyrinth
2007,MUSIC (Original Score),Gustavo Santaolalla,Babel
2007,MUSIC (Original Song),Music and Lyric by Melissa Etheridge,An Inconvenient Truth
2007,BEST PICTURE,"Graham King, Producer",The Departed
2007,SHORT FILM (Animated),Torill Kove,The Danish Poet
2007,SHORT FILM (Live Action),Ari Sandel,West Bank Story
2007,SOUND EDITING,Alan Robert Murray and Bub Asman,Letters from Iwo Jima
2007,SOUND MIXING,"Michael Minkler, Bob Beemer and Willie Burton",Dreamgirls
2007,VISUAL EFFECTS,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall",Pirates of the Caribbean: Dead Man's Chest
2007,WRITING (Adapted Screenplay),Screenplay by William Monahan,The Departed
2007,WRITING (Original Screenplay),Written by Michael Arndt,Little Miss Sunshine
2007,JEAN HERSHOLT HUMANITARIAN AWARD,Sherry Lansing,
2007,HONORARY AWARD, Ennio Morricone in recognition of his magnificent and multifaceted contributions to the art of film music.,
2008,ANIMATED FEATURE FILM,Brad Bird,Ratatouille
2008,PRODUCTION DESIGN,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Sweeney Todd The Demon Barber of Fleet Street
2008,CINEMATOGRAPHY,Robert Elswit,There Will Be Blood
2008,COSTUME DESIGN,Alexandra Byrne,Elizabeth: The Golden Age
2008,DIRECTING,Joel Coen and Ethan Coen,No Country for Old Men
2008,DOCUMENTARY (Feature),Alex Gibney and Eva Orner,Taxi to the Dark Side
2008,DOCUMENTARY (Short Subject),Cynthia Wade and Vanessa Roth,Freeheld
2008,FILM EDITING,Christopher Rouse,The Bourne Ultimatum
2008,FOREIGN LANGUAGE FILM,Austria,The Counterfeiters
2008,MAKEUP,Didier Lavergne and Jan Archibald,La Vie en Rose
2008,MUSIC (Original Score),Dario Marianelli,Atonement
2008,MUSIC (Original Song),Music and Lyric by Glen Hansard and Marketa Irglova,Once
2008,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men
2008,SHORT FILM (Animated),Suzie Templeton and Hugh Welchman,Peter & the Wolf
2008,SHORT FILM (Live Action),Philippe Pollet-Villard,Le Mozart des Pickpockets (The Mozart of Pickpockets)
2008,SOUND EDITING,Karen Baker Landers and Per Hallberg,The Bourne Ultimatum
2008,SOUND MIXING,"Scott Millan, David Parker and Kirk Francis",The Bourne Ultimatum
2008,VISUAL EFFECTS,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood",The Golden Compass
2008,WRITING (Adapted Screenplay),Written for the screen by Joel Coen & Ethan Coen,No Country for Old Men
2008,WRITING (Original Screenplay),Written by Diablo Cody,Juno
2008,HONORARY AWARD, Robert Boyle in recognition of one of cinema's great careers in art direction.,
2009,ANIMATED FEATURE FILM,Andrew Stanton,WALL-E
2009,PRODUCTION DESIGN,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,The Curious Case of Benjamin Button
2009,CINEMATOGRAPHY,Anthony Dod Mantle,Slumdog Millionaire
2009,COSTUME DESIGN,Michael O'Connor,The Duchess
2009,DIRECTING,Danny Boyle,Slumdog Millionaire
2009,DOCUMENTARY (Feature),James Marsh and Simon Chinn,Man on Wire
2009,DOCUMENTARY (Short Subject),Megan Mylan,Smile Pinki
2009,FILM EDITING,Chris Dickens,Slumdog Millionaire
2009,FOREIGN LANGUAGE FILM,Japan,Departures
2009,MAKEUP,Greg Cannom,The Curious Case of Benjamin Button
2009,MUSIC (Original Score),A.R. Rahman,Slumdog Millionaire
2009,MUSIC (Original Song),Music by A.R. Rahman; Lyric by Gulzar,Slumdog Millionaire
2009,BEST PICTURE,"Christian Colson, Producer",Slumdog Millionaire
2009,SHORT FILM (Animated),Kunio Kato,La Maison en Petits Cubes
2009,SHORT FILM (Live Action),Jochen Alexander Freydank,Spielzeugland (Toyland)
2009,SOUND EDITING,Richard King,The Dark Knight
2009,SOUND MIXING,"Ian Tapp, Richard Pryke and Resul Pookutty",Slumdog Millionaire
2009,VISUAL EFFECTS,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",The Curious Case of Benjamin Button
2009,WRITING (Adapted Screenplay),Screenplay by Simon Beaufoy,Slumdog Millionaire
2009,WRITING (Original Screenplay),Written by Dustin Lance Black,Milk
2009,JEAN HERSHOLT HUMANITARIAN AWARD,Jerry Lewis,
2010,ANIMATED FEATURE FILM,Pete Docter,Up
2010,PRODUCTION DESIGN,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,Avatar
2010,CINEMATOGRAPHY,Mauro Fiore,Avatar
2010,COSTUME DESIGN,Sandy Powell,The Young Victoria
2010,DIRECTING,Kathryn Bigelow,The Hurt Locker
2010,DOCUMENTARY (Feature),Louie Psihoyos and Fisher Stevens,The Cove
2010,DOCUMENTARY (Short Subject),Roger Ross Williams and Elinor Burkett,Music by Prudence
2010,FILM EDITING,Bob Murawski and Chris Innis,The Hurt Locker
2010,FOREIGN LANGUAGE FILM,Argentina,The Secret in Their Eyes
2010,MAKEUP,"Barney Burman, Mindy Hall and Joel Harlow",Star Trek
2010,MUSIC (Original Score),Michael Giacchino,Up
2010,MUSIC (Original Song),Music and Lyric by Ryan Bingham and T Bone Burnett,Crazy Heart
